,review_helpful_vote,review_text,review_rating
0,"5,087 people found this helpful",NOTE:,3.0 out of 5 stars
1,"2,822 people found this helpful",Very bad experience with this iPhone xr phone. Back camera found defective and non functional. Amazon is very careless. I haven't got any response on confirmation for replacing. I am just hanging with a damaged piece worth of more than 91000 rupees.,1.0 out of 5 stars
2,"1,798 people found this helpful",Amazing phone with amazing camera coming from iPhone 7 plus great service from amazon,5.0 out of 5 stars
3,"1,366 people found this helpful","So I got the iPhone XR just today. The product looks amazing. But unfortunately the Face ID is not working and there’s a glitch in the front camera’s portrait mode. That’s fine, it may happen. But what’s not fine is the pathetic service provided by amazon and apple. Firstly, amazon takes no responsibility of the product once sold. Talking about the giant, apple, the so called market leaders. Went to the service centre, after running a diagnostic the solution they came up with is sending the phone to Bangalore for repair. Like sending the new phone for repair is the practical solution that the company provides after charging a bomb for the product. And also to mention, amazon.in is not an authorised apple reseller. I guess this issue will be escalated to the consumer court. Thank you amazon and apple!",1.0 out of 5 stars
4,536 people found this helpful,"I've been an android user all my life until I decided to try iPhone XR for iOS. Loving the camera and battery life is an absolute joy to have. It's been more than one month since I got this phone and I'm loving it. Face ID works flawlessly even in the dark and the dual sim function is working like a charm, I'm using Vodafone as my primary sim and Jio as e-sim and have faced no problem whatsoever.",5.0 out of 5 stars
5,313 people found this helpful,I was delivered a phone that did not work immediately after removing from the box. I was not able to return it as I need to first check with Apple. Apple service told me that the phone was lying without charge since 5 months and hence the battery failed. Now I have had to leave the phone with Apple for repairs and waiting for them to replace the battery. Please answer this: WHY SHOULD I RUN AROUND FOR THE SUB PAR QUALITY DEVICE WHEN I WAS SHIPPED A DEAD PHONE? Last time I ever purchase a phone online,1.0 out of 5 stars
6,189 people found this helpful,"It has been a month since I started using my iPhone XR and the experience has been awesome. Excellent battery life, smooth operating system, and most of all, dual Sim functionality are the best features of this iPhone. Spent so many days to decide on the colour, but opted for white, and I’m very happy about it. Coral is also a very good colour option which I have bought for my wife. Only issue bothering me is the time taken to charge the phone. You need to opt for overnight charging. Other than that, extremely happy with the purchase.",5.0 out of 5 stars
7,164 people found this helpful,The phone is hanging. Video quality is not very good.,1.0 out of 5 stars
8,124 people found this helpful,I'll use this review to mostly say what I'm not a fan of in this particular iPhone model.,4.0 out of 5 stars
9,94 people found this helpful,Went with the iPhone XR after over a month of consideration.Amazon was offering some really good discounts and felt the time was right to upgrade having used the iPhone 6 for four seamless years.,1.0 out of 5 stars
10,"5,087 people found this helpful",NOTE:,3.0 out of 5 stars
11,"2,822 people found this helpful",Very bad experience with this iPhone xr phone. Back camera found defective and non functional. Amazon is very careless. I haven't got any response on confirmation for replacing. I am just hanging with a damaged piece worth of more than 91000 rupees.,1.0 out of 5 stars
