"review_name","review_rating","review_title","review_text","review_helpful_vote"
"Aman deep sharma","4.0 out of 5 stars","After some time, the problem of leakage starts coming in it.","After some time, the problem of leakage starts coming in it.",""
"trishla nigam","4.0 out of 5 stars","Not leakproof..","This bottle is not leakproof...",""
"Murugan","4.0 out of 5 stars","Good product","Easy carrying and useful",""
"Adv. Harel H D","4.0 out of 5 stars","Very useful product","Very good product.",""
"Amazon Customer","4.0 out of 5 stars","Good","Good",""
"Chhaganlal Garg","4.0 out of 5 stars","अच्छा","टिकाऊ सुविधाजनक","One person found this helpful"
"RAJASEKARAN","4.0 out of 5 stars","Good","Good",""
"Jitin","4.0 out of 5 stars","Magnetism is not how you test the chemical composition of steel!","This is a good steel bottle, and a good alternative to plastic bottles. The body of the bottle is made of a rather thin sheet of metal and the build could have been sturdier. The body as well as the lid are made of steel. The lid seems to have some plastic on the insIde, I would have preferred it to be all steel with silicone. The lid in particular is important in a bottle as there are studies which show that bottles with plastic lids can lead to small particles of plastic brushing down the bottle when you open and close the lid.
The package and the website mention the steel to be 18/8 composition. A few reviewers have noted that the bottle is magnetic. It is a myth that 18/8 steel cannot be magnetic when in fact it is very common for 18/8 steel to become magnetic on cold working. Magnetism is not the proper way to test for steel composition. Somehow I doubt that a company like Milton would make a false claim in this regard (as they can be sued, right?). Someone should get the bottle tested for its material composition and the presence of harmful elements like lead.
Iron as it exists in nature exhibits magnetic properties. However in some forms of steel, the iron atoms are arranged in such an alternating way that they cancel out each other's magnetism. Hence the net magnetism turns out to be zero. 18-8 is one such steel which is normally non-magnetic. However, when you cold work this type of steel (physically deform it in some way, bend it, etc.) the structure partially changes to a different one where the iron atoms are not located so as to be able to completely cancel out each other's magnetism, leading to partial magnetism in the steel. This is probably what is happening with this bottle. The chemical composition however remains the same since you or only changing the physical structure, so the steel is still 18-8 but has become partially magnetic. Unless the magnetism poses a problem, this is not an issue (why should it be?). Technically speaking, 18-8 is an austenitic steel which is non-magnetic, but on cold working some of it transforms to martensitic steel which is magnetic.
Will all 18-8 steels become magnetic on cold forming? No, the process partially depends on the amount of carbon in the steel. Steels with lower carbon content would probably not get magnetised as much. The magnetism can also be removed after the cold work by heating the steel to a fairly high temperature to remove the internal stresses and bring the stucture back to austenitic where the iron atoms cancel out each others' magnetism.
I have bottles from the US - from a brand called Klean Kanteen which is fairly well-reputed, and unsurprisingly they are magnetic too while claiming to be 18-8 or 304 steel. The reason being the same - cold working makes 18-8 steel partially magnetic.","264 people found this helpful"
"Ravindra pundir","4.0 out of 5 stars","V. Good","V. Good","One person found this helpful"
"Punit S.","4.0 out of 5 stars","Good product","Stainless steel",""
"Ranjan Mukherjee","4.0 out of 5 stars","A steel water bottle worth buying.","Good product for safe drinking water.","One person found this helpful"
