name,title,rating,date,text,helpful_vote
Govind rampal,they r making fool,1,2-Mar-20,"in ingredients section they have mentioned whey protein and whey powder, but in actual they r mixing milk powder  in ingredients list.  see the difference in pic",
Tanish,great protein at low price,5,12 April 2021,the flavor of this protein is great and mixablity of this product is good  this product have great amount of protein  at low price.,
mohit bhati,genuine product.,5,14-Jun-20,i have uploaded this product result just 20days good workout and protein+ other diet....I'm feeling much better after using this product.and most important thing is the product is 100% genuine and you can check the product original or not in lets verify application on playstore.,
Randeep Singh,It’s PATHETIC,1,8-Dec-21,"The media could not be loaded.
                
 The most pathetic protein ever",
Mithun Kartha,Horrible sweet taste!,1,6-Mar-20,Would advise anyone serious about protein powders to avoid it completely. It has artificial sweeteners and also a milk powder derivative. I won't order from this brand again.,
Prasham Dave,Very poor quality control,1,10-Jul-20,"Bought this product first from Amazon , had white balls as in the pictures . Contacted bigmuscles to inquire about the product they didnt even care to divulge information about if it is normal for there product to have these balls because i got it from amazon and not there website .. thankfully amazon accepted the return and i ordered from bigmuscles. Again the same product came with white balls . I inquired again now with bigmuscles they said it is unmixed calcium and it is safe to consume .. this brand has terrible quality control and am returning again  Please stick to muscleblaze instead of this brand . They have better quality control and customer service .",
Ghanshyam Rawat,Most affective whey protein in this awesome price range,5,30-Mar-21,"Good Mixability and taste with water and doesn't feel watery like the others. :-):-):-):-):-):-):-):-)First one right after i wake up in the morning and second one right after coming back from the gymTastewise ,if u have ON then you will definitely find this one much sweeter:-):-):-):-):-):-):-):-):-)",
Rahul Hemnani,Best Protein In this price range and Taste !!,5,7-Oct-20,"First of All The Taste Of Rich choclate Was Mind Blowing , and second thing Budget Friendly and The third thing the results ! I took Proteins i.e BCI SPORTS , MUSCLEPHARMA , MUSCLEMEDS in very High Cost But The Big muscles gold whey have same results like them , So I like it the most , I ordered 4 stashes from Bigmuscles and I like them Very much !! This is the real gold in this range !! Thankyu and Keep Loving your products !!",
TEJA BUNNY,The new type of scam I think,1,1-Dec-21,"The media could not be loaded.
                
 1)see in that protein all foam only no protein In that. Last month I used same no small foam also there but now see how much foam is there and it tastes like sugar water. Don't waste money on big muscles. I want my money back2)Red marking ones is my old one. And blue ones is recent one which I recieved yesterday from cloudail. And my old ones I bought from local store. Here see you can see for blue marking ones there is no big muscles logo... But when I scanned they showing authentic. This is new type of scam I think... I immediately mailed to big muscles customer care with all those pictures. Let's see what happens. If it is duplicate I going to book a case against cloudail for sure.",
Parshant,False and Fake Product,1,13-Sep-20,I really think that Big Muscle is good company though Ranveer Singh endorsed this brand and  purchased it after seeing it's Protein percentage and BCAA profile on the Ingredients label. I early used Muscleblaze Fuel One Protein it's good in taste and mixiblity good results as well but I'm bored and just ordered this one after i opened the seal i look little clumps in powder and smelling like moisture. Really unhappy with this product don't buy this.,
Channabasava R Madari,Read the review before buying.,1,4-Feb-21,"Maybe it has good offer or provides free creatine, but DON'T BUY IT.Packaging and branding over the box is so cheap. The label is rolled over the box like it's done with the hand.It looks nothing like the one in image.That powder inside smells great, tastes great but it's all milk powder enhanced. That protein content is really low.I got this for Rs.1000 with a free creatine. How can anyone produce 1kg of whey protein for just 700.The lab report given by some youtubers such as 20kgdown, Allaboutnutrition found this had only 12g protein scoop i.e., half of what has been claimed. And 18g/scoop in some batches. Many other youtubers found the same but they later removed their video from YouTube when the company paid them to do so.So most of the reviews on youtube are paid by the company.Other options available in same price range such are MB Fuel one or SINEW whey conc. 79I just want other beginners like me to not get cheated and be able to choose the right product for their price. Good luck.",
Sahlaik Ahmad,Worst protein.,1,3-Aug-20,"Guys don't buy it! It doesn't tastes good, moreover not even close to expectations! It's way more costly too however it's garbage. You can buy GNC bolt that is much better than this. It's overhyped and it's terrible seriously trust me you will hate it....I want to return and get refund however Amazon says we are sending someone to pickup however no one came so far after 4 attempts. They will ignore your concern and you will end up loosing your money.",
abhiman,"Low protein per scoop, but very good VFM",4,7 April 2020,The protein is marketed as isolate but it contains a lot of carbohydrates. Also the mixability is quite bad.I can excuse the mixability because at this price getting a genuine protein is good enough. But the company should not mislead customers by tagging this as an isolate.,
Nayan Ranjan,Not worth,3,3-Mar-20,I don't think it has 25 gm protein per serving also its scoop size is of 35 gm its not pure it has milk powder added,
