,name,title,rating,date,text,helpful_vote
0,Govind rampal,they r making fool,1,2-Mar-20,"in ingredients section they have mentioned whey protein and whey powder, but in actual they r mixing milk powder  in ingredients list.  see the difference in pic",
1,Tanish,great protein at low price,5,12 April 2021,the flavor of this protein is great and mixablity of this product is good  this product have great amount of protein  at low price.,
2,mohit bhati,genuine product.,5,14-Jun-20,i have uploaded this product result just 20days good workout and protein+ other diet....I'm feeling much better after using this product.and most important thing is the product is 100% genuine and you can check the product original or not in lets verify application on playstore.,
3,Randeep Singh,It’s PATHETIC,1,8-Dec-21,"The media could not be loaded.
                



 The most pathetic protein ever",
4,Mithun Kartha,Horrible sweet taste!,1,6-Mar-20,Would advise anyone serious about protein powders to avoid it completely. It has artificial sweeteners and also a milk powder derivative. I won't order from this brand again.,
5,Prasham Dave,Very poor quality control,1,10-Jul-20,"Bought this product first from Amazon , had white balls as in the pictures . Contacted bigmuscles to inquire about the product they didnt even care to divulge information about if it is normal for there product to have these balls because i got it from amazon and not there website .. thankfully amazon accepted the return and i ordered from bigmuscles. Again the same product came with white balls . I inquired again now with bigmuscles they said it is unmixed calcium and it is safe to consume .. this brand has terrible quality control and am returning again  Please stick to muscleblaze instead of this brand . They have better quality control and customer service .",
6,Ghanshyam Rawat,Most affective whey protein in this awesome price range,5,30-Mar-21,"Good Mixability and taste with water and doesn't feel watery like the others. :-):-):-):-):-):-):-):-)First one right after i wake up in the morning and second one right after coming back from the gymTastewise ,if u have ON then you will definitely find this one much sweeter:-):-):-):-):-):-):-):-):-)",
7,Rahul Hemnani,Best Protein In this price range and Taste !!,5,7-Oct-20,"First of All The Taste Of Rich choclate Was Mind Blowing , and second thing Budget Friendly and The third thing the results ! I took Proteins i.e BCI SPORTS , MUSCLEPHARMA , MUSCLEMEDS in very High Cost But The Big muscles gold whey have same results like them , So I like it the most , I ordered 4 stashes from Bigmuscles and I like them Very much !! This is the real gold in this range !! Thankyu and Keep Loving your products !!",
8,TEJA BUNNY,The new type of scam I think,1,1-Dec-21,"The media could not be loaded.
                



 1)see in that protein all foam only no protein In that. Last month I used same no small foam also there but now see how much foam is there and it tastes like sugar water. Don't waste money on big muscles. I want my money back2)Red marking ones is my old one. And blue ones is recent one which I recieved yesterday from cloudail. And my old ones I bought from local store. Here see you can see for blue marking ones there is no big muscles logo... But when I scanned they showing authentic. This is new type of scam I think... I immediately mailed to big muscles customer care with all those pictures. Let's see what happens. If it is duplicate I going to book a case against cloudail for sure.",
9,Parshant,False and Fake Product,1,13-Sep-20,I really think that Big Muscle is good company though Ranveer Singh endorsed this brand and  purchased it after seeing it's Protein percentage and BCAA profile on the Ingredients label. I early used Muscleblaze Fuel One Protein it's good in taste and mixiblity good results as well but I'm bored and just ordered this one after i opened the seal i look little clumps in powder and smelling like moisture. Really unhappy with this product don't buy this.,
