,name,title,rating,date,text,helpful_vote
0,Rajdeep Singh,Ryt choice,5,19-Nov-19,Good product,96
1,Hitesh Pant,Horrible choclate fudge- donot buy.,1,6-Sep-20,"Openend the package 5 minutes ago- As seen in the picture, the box is too big and the content is 1/4th less. So this led me to think, if its ingenuine, then i checked the code which said its original.Rest of the review will follow as I use it for some days.‚??‚??This part is after using it for some weeks-Very nice product. No lumps, easily moxes with a spoon. Taste is great. Easy to digest. No bloating. Will definitely use it again.‚??‚??‚??This part is after trying normal choclate, then vanilaa which was a lot of sugar. And then the worst experinece choclate fudge- only for choclate fudge, i didnt verify the genuine ness , hoping that thelast 2 products were genuine and so would rhis be.Thisis all together a different issue..i regret not checking the genuinesee..this one is way too sweet and plus forms lumps a lot of them and doesn‚??t mix at all, i eat the lumps..DONOT go for choclate dudge, and all of flaours, there was a small hole on the packaging, which i thought could be for ventilation, but orher reviews said, that it is a counterfiet product.Its been many months, i am unable to finish this choclate fudge, because it is very bad.My mother occassinally would share protein shake with me, bit this is very very very sweet. No body enjoys it.",13
2,Winter Soldier,Choco fudge > strawberry,4,25-Jul-20,"Though I personally feel, choco fudge is way better than strawberry flavor , however this is the best supplement for beginners and intermediate fitness enthusiasts.This flavour is Gluten free, but relatively higher cholesterol levels. Initially it tasted more like bubble gum than strawberry but I think my taste receptors aren't that efficient. However comparing this with my previous choco fudge whey, this makes a lot of froth/foam with cold water in the shakes, which settles after few minutes. Anyhow flavor have least priority for myself.  I combine this whey with muscle tech creatine and glutamine, which results in super gains and strength. After this stack is over , I'll definitely go with the GNC amp series whey along with creatine only.Thanks and happy Lifting ‚ù£Ô∏è",14
3,Chetan vaghani,Excellent product 10star product,5,31-Oct-19,"I used Mb Also but this one is better then mb , best product very light its iso that why ,5star rating ,now i dont hav blotiong issues",22
4,Neel Gangrade,I really like the Taste and its thickness,4,13-Mar-21,"I bought this product recently, came well packed as expected. i immediately checked the online for this authenticity. it passed the test. So the product delivered is original.Taste is really nice.. chocolate fudge. mixing with water and milk is good too. Here is the interesting thing i want to share. When you take it water it gets absorbed quickly. But when you mix water and milk together it takes really long time to get digested entirely. i did some test like mixing only with water then only with milk then mixing all three, the best results i got from water. So milk is a no go.Overall its a good product and i would recommend it for both beginners and experts. Hope this helps.",8
5,Dipankar S.,"Not mixable, protein floats and sticks in sipper",1,13-Mar-19,This product is useless. It does not mix at all with water after much trying. Chunks of protein floats in the sipper/ any container and sticks with them. However the sample which is 100% whey gold advanced series by gnc - that perfectly mixes with water. What a tragedy. I initiated refund and return on the same day. Next day someone from Amazon picked it up and I got the refund. So thumbs up to Amazon service and thumbs down to guardian healthcare or whether sells this product of gnc - either useless or fake product,21
6,Vijay Kedia,Waste of money !!,1,11-Mar-21,"This is not imported from US but made in India. The artificial sweetner taste in this protein powder is so bad that it stays in your mouth for some time after consuming it. If you need to buy a made in India product, there are much better products available at lesser price.",10
7,Amazon Customer,Good ans genuine,5,14-Nov-20,"I usually dont give reviews, but for this.I would like to say that what whatever I have ordered from Amazon so far came up to me as a genuine product,  I never had any regret after buying.People in gyms may say amazon is selling fake, but I have never encountered any instances like that.Even I ordered a pre workout and that was even great.Thank you amazon for providing such product at doorsteps.",10
8,Manish singh,Aunthicate and genuine product,5,9-Feb-20,"This is my third order and muat say its origenal stuff provided by Amazon, usley i used buy from shops but now i am happy with amazon product. Taste is good as m a professional bodybuilder m have with the results.",78
9,√§nurag mhatre,Highly recommended.,5,27-Nov-20,"Awesome product, though the delivery date was shown as 5 days later, I received it in 2 days only. Most loving part is the taste, it tastes awesome. The mixiblity is also good, after adding it to the shaker it dissolves completely in 1-2 shakes. Value for money product. Highly recommended.",10
10,Ishan Thakur Das,Best protein!,5,8-Dec-20,"I've been using GNC protein powder for years in the UK, one of the best out there. In India i find most of the protein powders bein fake or horrible so this is the best protein to try in India. Go for it!!",9
11,Sammy,Perfect for low budget holders,3,29-Oct-20,GNC is an forgein brand but the manufacturing takes place in india . It taste much better then labrada which is also in same range and manufactured in india . Luckily I recieved an orginal product and you can easily check the autheticity of this product by scratching the code and entering in GNC website to verify .Taste is kinda sweeter but atleast its not bitter so you can drink it easily in water and in milk it taste even better .57 servings for 3.3k is quite good . Best suited for people who want a good protein under 4k.,7
12,Ruptanu P.,Not impressive,2,21 April 2021,"The flavour is definitely on the sweeter side. To comment on the effectiveness of the protein, for me, it had the same results compared to other cheaper brands like Asitis and Musclexp. On the contrary, the protein is heavier to digest, which for me was the biggest issue. Whey is usually something which should be quick and easy to digest. Also, the amount of protein per serving, 24gms per 35gms scoop, is relatively very less as compared to other brands. GNC should definitely work on improving their products as there are far more better alternatives in the market which have better quality and results even at a cheaper price.",6
13,Avi Ashu,Good whey protein ...highly recommended for 3k budget,4,1-Dec-20,"Packing : well packedProduct : 100% genuine (just got for it )  , been in this fitness gym for the last 3 years and GNC protein is definitely good for lean muscle recovery and gains .Digestion : no digestion problem , no bloating , no acidity ...Taste : sweetness is well balanced and perfect . chocolate fudge is good ,better than vanilla or strawberry.Budget wise : best for the Indian market as compare to muscle blaze and other Indian products . GNC could have provided one shaker with the protein tub ...",8
14,Anshu Anshu,Good Product.,5,1-Mar-22,"I bought the vanilla flavour, been using it for a month. 1 scoop a day post workout.Pros:-Genuine product, I verified it via both Amazon's Transperency app & GNC webite.Tastes great, at beginning I felt it was a bit to sweet but then you'll get used to it.No bad aftertaste in your mouth.Digests quickly.Noticable difference in post workout recovery.Con:-Mixability can be improved, i notice lumps at times even after a proper shake.Overall great experience, will definitely purchase again.",70
15,Sanjay Navik,Excellent product and remarkable delivery,5,5-Nov-18,Was looking for balance Whey protein with good nutrient content... after various recommendations and research I choose GNC. It‚??s a excellent product with pleasant taste... value for money. Thanks to Amazon and Guardian on delivering the product within said time frame...,20
16,M¬ÆÔ∏èM¬ÆÔ∏è,people will die it‚??s fake,1,27-Nov-19,Cheap quality because of Indian Fake manufacturing,15
17,Shardul Khadye,Thick and tasty (chocolate fudge),5,31-Jan-21,"Initial impressions :Received original supplement , verified using official guardian website. Thank You amazon.Taste of chocolate fudge (with milk) is really really good.You will not even feel that you are having whey protein , the taste with milk is even better than ordinary chocolate icecream shakes and it is very thick also.I was using NutraBay product before buying this and I had good results with NutraBay too , I will update this review after 1 month usage of GNC.But the inital impressions are really awesome !",6
18,Asutosh S.,Tastes Terrible and Synthetic,2,22-Mar-19,"I have been a consumer of this protein for many years and used to love it. Earlier they would import this from the US and now they manufacture it in India. I am shocked how a company like GNC hasn't been able to maintain product consistency in their product. The Indian made product tastes very synthetic and nothing like the original thing. For a while, I didn't even know I had bought the original thing or not. But GNC confirmed it is. So I dunno if I will continue with this or just switch to a protein that doesn't taste this plastic. I am sure there are some compromises made to make the price affordable. Wouldn't recommend if you believe in quality.",8
19,RAJAT CHAUHAN,Should not order protein from amazon,1,2-Jan-21,"The gnc protein is excellent protein but the problem lies in the delivery. Amazon delivers damaged item like product with broken seal, instead of protein there will be something else. And you will face problems on return also.Clear advice is you should not buy protein on online platforms. Go to nearest store and buy it.",8
