,name,title,rating,date,text,helpful_vote
0,Arijit,Nice buy,4,23-Jan-19,"Decent taste. Certainly original as I have verified it through their sms service. Only downside is mixing is really tough. I use a mixer and it still doesn't mix properly! Also doesn't mix well in hot milk. Never tried mixing using a shaker though. Also, I did a lot of calculations. This supplement offers one of the best protein/rupee ratio, much better than muscleblaze gold or massgainer pro and the likes. Of course, there is a limit to serving size so you can get only 12 g of protein at once. What I'm trying to say here is that it's cost-effective and bang for your buck",
1,Umang,MB is nice but Bad shipping,5,16-Oct-18,Get this 💰 999Seems to be nice. As I heard about MB it is a genuine product that's why I buy this.Can give the review after use.But jar was broken when I get this.Amazing part is amazon refund it. Due to broken jar. Thanks,
2,Arun Vashist,Good protein for regular use and gym beginners,4,3-Jan-19,"For beginners it's a great option to start with, it has around 12% protein, digestive enzymes for easy absorption of protein and no sugar.Taste is a personal choice but I have found the chocolate flavour really tasty.Mixing it with water and milk is not really effortless, but not that bad.",
3,Prashant_PJ,Very Effective And Genuine Product.,5,22-May-18,Muscle blaze has always been a trusted brand for fitness  So I decided to order this Supplement..But I was doubt that I would get the original product or not..When the product was received it was completely original.. A code is given inside its lid. That code can be detected by messaging.,
4,Amazon Customer,Cheaters,1,28-Jan-19,"The quantity of the powder I wonder if it’s even 750mg , forget about 1 kg , as you can see the picture the box is more than half empty as I open it. No wonder it was so cheap , I don’t know if this product is even genuine. Why cheat us ? When you can’t deliver quality products.",
5,ST,Low quality protein,2,4-May-19,The protein content is too low and this product causes bloating. The base of the container looked as though someone tried to cut it open and empty the content,
6,Parichay,It's a SCAM,1,19-Jan-19,1. In one serving you get only 12 g protein which is disgusting and 12 g of carbohydrates which should not be there in whey protein.2. Bottom seal is broken in most of the packs and item isn't returnable too. That's sad3. At same price go for some protein which has 20-24 g of protein per scoop and low carbohydratesVERY BAD DEAL IN ALL,
7,Bharat Singh,A brief Review of Beginner Protein.,3,17-Jan-19,"Product is good. However, those having indigestion issues shouldn't buy this. As, it contains artificial sweeteners as well as high quantity of Carbohydrates which don't digest quickly will leave you in lurch and will cause flatuation and bloating all around the day. I would recommend go for high protein content with no artificial sweeteners and low carbs. Any product of muscleblaze shows result with consistent hard work accompanied with good diet and rest(min 6-7 hours a day).I also recommend you to drink water as much as possible at least 4 litres a day while on protein intake. Drink protein powder in water not in milk. Milk contains caesin protein which is useful at night before bed. If Caesin mix whey protein l, it will take a lot of time to digest and again bloating and flatualence.Best time of protein shake- Anabolic State and/or Between the meals.All the best friends!",
8,srikara,Great for beginners,5,14-Oct-18,"I used this product for a month, this was my first protein supplement, before buying this I was really nervous but now I've seen significant amount of muscle gain and u can see muscle growth in 2 weeks for use real confidence booster for beginner great product by muscle blaze hope beginners will find this helpful😉😉😄",
9,Nitin,Make a proper Research before buying this,3,23-Mar-21,"Hi All, I am writing this review after using 1 box of this beginner's protein. certainly it will help you with your supplement requirements. BUT you need to research a little not for this product but yourself. just check your skin, if it is acne prone, don't buy it. It causes severe acne breakout. soon after taking this protein, I faced acne breakout on my face and back and on places where i never saw a pimple before. You can study online about this and choose a right brand and not this just because a shaker is free with it. thats what I did. I moved on to Myprotein. Although it is a bit expensive than this but I moved on from this product. I will write a review regarding my protein also after using it for a significant time.",
10,Yogesh,Not Genuine,1,5-Feb-19,"The geniun check failed..Got below SMS ""product name or code was not recognized. Please check the code for any typing errors. If any issues, please contact MuscleBlaze customer care at +918527732632.""",
11,Mehak gurung,Original product,5,7-Sep-20,This is original product.... Must buy... Value of money,
12,Rohit Tiwari,Why people make a fuss on this topic Muscle blaze beginners protein and gainer pro,4,13-Jun-18,I got these today perfect package with original seal tried mix ability is good taste good nothing suspicious on this price point,
