,name,title,rating,date,text,helpful_vote
0,Rakesh Swain,First drink first impressions,5.0,9 September 2021,Update : After a 1.5 months of usage. Loving it. Does the job. Ordering it again. Though it has increased the price by 100 bucks. Inflation everywhere!______________________________________________Checked my orders. Had ordered ​Whey Energy Choclate for the last 10 times. So thought for a change of flavor and some extra protein.Pros:1.  Mango flavour is not as good as the choclate I was used to but good enough when mixed with milk. May be I need to give it time.2. The biggest pro over whey energy choclate is the absorbency. Mixes so well with chilled milk with same amount of shaking. Didn't find a single lump.3. Extra protein per scoop. I drink half before and half after workout. Good energy during workout and good recovery post workout.4. Unique scoop mechanism.5. No bloating or indigestion of any sort even though some extra protein. I mix 1 scoop with 500ml of chilled milk.Cons :1. Nothing as of now except may be a bit pricey I guess.,151
1,Misbah,Best ever protien,5.0,5 August 2021,I have used this protien since 10 days and I can say that it's good protien it's taste is awesome also it digests quickly I have used almost all imported brands but this one is nest level better than asitis better than bigmuscle better than imported brands go for it but price is little bit costly on whey protien and biozyme whey isolate is very costly than imported brands I will recommend U only Biozyme performance whey coz it's in budget range but if u want to buy biozyme whey protien and biozyme whey isolate then please don't buy these two because imported brand price and these two price are almost same go only for biozyme performance whey,125
2,Monu Banerjee,The Best Whey For Indian,5.0,21 August 2021,"The media could not be loaded.
                



 I tried lots of variety in whey protein,but this protein is a one step upper then all other indian brand.I have been using MB Whey for a long time.And The result is great and if u use this whey or any MB product ,then u feel the rusult in one week.. and the best part of MuscleBlaze all information are clearly mention in product packaging..and one more best thing if you buy in amazon d'not worry about authentication bcoz MuscleBlaze all product are the sell form official MuscleBlaze company...just one suggestion for MuscleBlaze plz sand a gift as a shaker or t-shart...if you search any Indian brands so you go with MuscleBlaze..",127
3,Nirav d.,Best flavour i have ever tested & tasted till date,5.0,28 May 2021,I have tried bunch of flavours but ordered this Mango flavour for the first time & believe me this is the best flavour i have ever tasted & just try with milk & you're gonna love it ...Just buy it,104
4,Vinuth,Just go for a change,4.0,12 June 2021,"Generally for protein shakes, it's better to go with flavours that go well with milk. You can choose flavours like grape, strawberry and mango just for a change.But the problem is the flavour is too sweet and I felt like mango sugar taste and for slow absorption if you take it with milk then you have to consume within 5-7 mins as the milk breaks. Rest I find it good but I feel its contains some sugars (not mentioned on the container) as it's so sweet. In my opinion it's better to go with caffe mocca or chocolate if you don't mind the taste but if you want to try something new go for this. Btw it tastes so good with milk and when mixed with water it tastes like diluted copy products of maaza or fruity.",57
5,Biswajoy Ghosh,Best tasting,5.0,22 May 2021,I bought the mango flavoured one. I have tried a number of whey protein supplements and a number of other flavours beside mango by MB itself. This one is by far the most natural tasting protein in my opinion. I mix a scoop with 200ml of chilled water and it tastes exactly like a pulpy mango drink. Will not change this flavour untill I am totally bored.,51
6,Babu lal,Fantastic,5.0,21 April 2021,Fantastic taste and great results. It helps me alot during my competition sessions. I put up almost 6 pound lean muscle mass. Loved it,50
7,Deepak Dahiya,"Totally waste.. stomach problem, health issue",1.0,18 June 2021,"It is totally waste product, creates stomach problem, anything you eat you just need to go for potty, harmful for digestion, i quit it just after 2 dose..even i had taken half scope first day and other half the next day, suddenly i stopped it because it is like a chemical. Don't use..waste of money.",37
8,KG,If you want to empty your bowels then this can be a good laxative. Absolute GARBAGE.,1.0,12 July 2021,"Mango flavour is mind blowing. I bought 1kg Mango flavour for the taste but will buy 2kg one next time.Easy to digest.Update 1 : after 5+ scoops this protein feels lighter on stomach as compared with others.Update 2 : I had a diarrhoea after 10+ scoops. Not sure if this bio-enzyme cleans up stomach.Update 3: I'm not sure if this is the right product for me. My stomach gets upset for 1-2 days after having one scoop.Update 4: Everytime I have taken this protein, I had upset stomach or diarrhoea.If you want to empty your bowels then this can be a good laxative.Threw away this after trying several times.",32
9,Prince jain,Know the things,5.0,15 July 2021,I’ve taken hazelnut chocolate flavour so 1st thing for most whey proteins or any bodybuilding supplements are not for all in some body they can give side effects or in some they can give very good effects so stop saying that this protein is right this protein is fake etc things so just take the whey protein don’t complain that the flavour is good flavour is not good etc you need gains your not drinking or taking thing for taste,28
10,Ankit,Default your product please refund the money,1.0,24 October 2021,Hello Iam Ankit. I ordered a muscles blaze biozyme performance whey (chocolate flavour) .there is no . Seal  in the product .it is not mix with water  properly. Scoop is missing .one of the main thing is that too there is no. Expiry date on the  product and manufacturing date in the product .the powder smells is very bad .the. Taste of the. Product is also very bad .so that I requested you to refund my money. As soon as possible ..Thankyou,25
11,Rohit barua,Pathetic,1.0,12 May 2021,Ghatiya is just aptIts taste is patheticSo is the uneasiness caused by itIf you want to buyBuy whey isolateNot this pleaseSpecially chocolate flavourDon't do this to yourself,28
12,mukesh k.,I have got the spoiled product,1.0,15 March 2022,"The media could not be loaded.
                



 When I mix it water it didn't get mix first and then when I open my shaker I have got foul smell as like it get expired or got spoiled. I really want to say they plz.. Don't buy this product as Amazon giving duplicate product to customers. As God thank I didn't drink that if I take  that i didn't think I get well then.",16
13,Rohan,Low quality protein. Don’t waste your money,1.0,12 October 2021,"I used Muscletech Nitrotech for a month and I got really good results.Then I came across this product - Musclsblaze Biozyme, and I ordered it because it was on sale. I regret ordering it.I’ve been taking this for almost 15 days now and I’ve not seen any improvement in my physique. I feel like I’m losing my muscles that I had gained in the last 1 month when I was taking Muscletech.I’ve placed a new order for Muscletech and I won’t be taking Muscleblaze anymore.Please don’t waste your money on such low quality products. It won’t benefit you in anyway. Might as well pay a little more and get a good quality supplement.Muscleblaze does really good advertising but their products are terrible.",15
14,Bharath Raj Shet,Pure Gimmick from MuscleBlaze,1.0,15 December 2021,"Bought this protein powder thinking it must be good from all the awesome artwork, marketing fancy stuff done by Mb.But this is the worst protein powder ever , I have been using protein from ON, Nutrabay, Myprotein so thought I’ll go for a change.They say Fancy stuff like Biozyme tech etc etc but in reality it’s just Protein concentrate not even isolate just read the ingredients.I have been having stomach discomfort post this usage.Mango Flavour is also very sweet and is okayish.I think I have to just throw away this box now.Very bad experience from MB.",12
