,name,title,rating,date,text,helpful_vote
0,Ganesh kamath,It is 100% Original,5,23-Oct-18,"Guys, there are two ways to find out the authenticity of this product. First,  scratch the hologram which reveals 8 digit code. Enter this code in Bright commodities website which will confirm it's authenticity. If you are still not convinced then call Glanbia (manufacturer) on 011 49594959 and tell them your batch code. They will confirm it's authenticity.!!!",
1,Yellowflash,Fake supplement alert,1,26-Jan-19,"Ordered the product on january sale and recieved today on 26th jan I was happy as I bought it for a very low price than the market and as soon as I got my hands on the product I opened it the first thing that shocked me that there is no interior lid covering this was strange and unusual as the product always comes with a interior lid although the seal was intact so I thought everything is right but as soon I smelled it my doubt on the authenticity of the product becomes crystal clear, I took one scoop and mixed it with water bingo it is not mixing with water. I dont know how this happens as the seal is from On is intactand also the distrubutor seal is also ok but how could this happen I cant understand that, abd from now no protein from internet. Tchao",
2,shahrukh,Double rich choclate and banana cream,5,23-Oct-18,"I used two flavours in two months 1st-banana cream2nd-double rich chocolate Both products taste were really amazing and yummy..But i will suggest you to buy duble rich choclate as it contains less cholesterol, less carbohydrates, less fats.. As compared to other flavours..Everything about this product is good.. I took this product for two months and i can see my body transform..U can take this post workout.If you wana loose weight.. This can help u if u follow proper diet...",
3,A Buyer,STALE stock: expire in 6 months (total 24 month). Suspected authenticity too - only box is authentic,1,4-Jan-21,"IT IS IMPORTANT TO UPVOTE RECENT REVIEWS TO ENSURE QUALITY IS MAINTAINEDI ordered ON 1 KG after a lot of deliberation. I regret the decision now. I had contemplated using the ""Subscribe and Save"" to get some discounts, but when they have no assurance on age of the product, it is pointless.Background: I ordered in Jan 2021 and got a product manufactured in June 2019. The expiry date for the box is June 2021. I did not check it prior to opening. Also it does not taste good (not like the previous ones I have had). It probably was not stored right as the TASTE HAS GONE BAD. Will not buy this ever again from Amazon.The authentication sticker validates the box - But the box itself is not tamperproof and the seal is more like a heat-shrink seal. Not sure it is authentic.",
4,Prabhjot,"Substandard, Made Exclusively for INDIA",2,21-Aug-18,"I am taking  On's Gold standard since years.i can't say its grey market product but definately something wrong this time. Bright commodities said its genuine product when i sent scratch code but its mixability is really bad, not even mixing with shaker and taste is less chocolaty,i dnt feel any heavyness in stomach after having it. Noticed few changes in packaging. It clearly says FOR EXPORT ONLY and they are printing India's FSSAI green mark on label in USA. Feels like its substandard product. Manufacturing exclusively for people of India. I dnt know whats wrong but its definitely not On's Gold standard Whey that we had earlier. Discarding it and switching to Rule 1 or wild whey",
5,Khagendra,Read It,4,19-Dec-19,"Brand is famous and doesn't need any review however it is bit costly because of it's popularity.Take it but with safety.1. Never take more than necessary protein because excess protein can damage kidney. Yes we believe if we take extra, we will be stronger however it has side effects and shoud be consumed in safe limit.2. When you take protein you must drink minimum 3 litres of water. Again drinking excess water helps kidney to flush out excess urea and also excess unconsumed protein.3. When you don't excercise, don't take it. Many guys keep consuming it even after they don't go to gym or workout. Don't take it as a health nutrition.4. When you visit any gym, the gym trainer try to brainwash you to buy protein powder. Never listen to the gym guy because he gets commision to sell protein powder. If you really need, get one. Also don't buy the brand suggested by gym trainer. To get high commission they suggest you any other brand and they don't care about your health. They just care about their commision.Thanks for reading. Cheers!",
6,Mahak Jain,Excellent...!!,5,25-Oct-18,Oh my god....its the most delicious flavor you can ever get in protein powder...it tastes exactly like rich coffee..add some ice cubes to it when you make it with milk...it will taste exactly like rich smooth cold coffee..whenever i drink this protein powder i feel like i want more....or you can have it just plain with water....both tastes equally good....If you are really a coffee lover go for it...!!!!Best..best...!!!,
7,Ali Merchant,Tried once,1,29-Aug-18,I just had one time n got severe gout attack. On that basis I won?? judge the product as I had consumed another protein powder till 20 days n then started this.  I wld suggest take an expert advice before taking any supplement,
8,Knight,Fake!expired!fungus,1,2-Dec-20,"The media could not be loaded.
                



?Fake product!ExpiredProduct have fungus and worms.RottenSee the videoOrdered for chocolate delivered fake expired vanila product.",
9,Rakesh Pandey,Product Delivered with tempered seal,1,2-Sep-21,"The media could not be loaded.
                



?The Product delivered had a tempered seal.  The cap was very carefully removed without breaking the plastic seal and the inner lid was slightly removed.  The plastic seal was rolled inside the cap and put on the box again.  It's a masterpiece of forgery and very smartly done.People, please do play with people's life.",
