"review_name","review_rating","review_title","review_review_text","review_helpful_vote"
"dharmendra sahoo","4.0 out of 5 stars","Not bad","My dream came fulfill😀😍","2 people found this helpful"
"Abhishek","4.0 out of 5 stars","An overall good premium experience","SUMMERY: As a first time iPhone user, I would say one should definitely buy iPhone ONLY for premium built & premium hardware (will talk later) while the whole iOS experience is pretty overrated. iPhones isn't any exceptionally fast with normal apps like YouTube, Insta etc, Android phones are equally snappy with them in 2022.
PROS:
1. Impressive hardware, the heptics, the autobrightness & otherwise highly ignored things in Android are way too perfectly executed in iPhone and it DOES make a big difference in user experience!!
2. The screen is AMAZING.. it doesn't have 90 or 120 hz refresh rate but it FEELS better than my Nord with 90 hz!!
3. A14 bionic promises years of performance ahead.
4. Battery life is somewhere in between good & great.
5.
6. The dimensions of phone, it's smaller than usual android phones and feels much more handy along with less weight.
7. Overall build quality is great.
8. Best audio output out there.
9. Long term support.
CONS:
1. SLOW CHARGING. 20 W only, you'll be jealous of 1/3rd price phones with 60 W charging. Yes that much high charging will effect health of battery but 20 W is way way too less, if Apple is such a legendary company they should have created a battery that can withstand decently fast charging while instead they just use slow charging to keep their battery's health.
2. Overy exhagerated software experience, reality is that Android is more user friendly with better gesture & commonsense options & settings & steps to do simple things. iOS looks pretty yes but UX engineers at Apple have really done a crappy job.. there's still no notification grouping in correct manner (its executed poorly), no proper homescreen customisation & just so so so many ""commonsense"" things are missing from iOS I can rant all day about it. Everything you can do in Android with a single click or swipe takes 2 swipes and then a click to do in iOS its SOOOOO ANNOYING. Like you want to clear a notification? Swipe and then click on clear. You want to open a notification? Swipe FIRST and then click open.. like wth????????
3. DON'T believe Apple fanboys who scream about speed, Android phones are equally snappy in performance today. There are split second app loading times in iOS also, just like in Android. And yeah iOS DOES HAVE occasional bugs too, apps taking too much time sometimes etc etc.
4. FaceID is nice but an in-fingerprint reader seems the best ID to me atleast, that's missing.
5. Ridiculously expensive accessories
6. Battery life is above good but not great.
In the end I would say iPhone, overall, does provide a better experience (mostly cuz of hardware only) but it's expensive. Do know that you're NOT buying a value-for-money phone at all, so buy it only if you can afford it without much difficulty.","122 people found this helpful"
"Prasanna Bhalerao","4.0 out of 5 stars","iPhone is the standard against which all smartphones are compared","I purchased this phone for my wife. Last year I purchased iPhone X for my son who is currently in the UK. I own an iPad and iMac 27"". I am not going to buy an iPhone for myself - at least not yet. One of the main things that I don't like about Android phones is the crap (bloatware) that each maker puts in. Moto and Google Pixel come with pure stock Android. So those can be left out. So I wanted a good phone for my wife so that she could FaceTime with my son in the UK anytime.
What is there to say? So many have written about it. Since everyone writes all the positives, I will write some negatives. While there aren't too many, no product can be perfect:
1. Brings in all the junk from the old phone. If one is switching from Android to iPhone, the ""Move to iOS"" app on Android can help. However be sure to clean up your Android phone first else all junk (especially ""Good Morning"", ""Good day"" picture crap from WhatsApp photos). Be sure to clean the SMS inbox also, especially all those blocked and spam messages which may be hidden from the main view and we never know that exist.
2. WhatsApp cannot be synced. Yes, there are 3rd party apps but they are full of ad-crap and I can't trust them for security.
3. Difficulty in validating iMessage and FaceTime. I could not activate iMessage and FaceTime with my mobile number. I simply could not figure this out. This is the case with my Vodaphone SIM/Number in India. Only when I added my email to my Apple ID, the two apps started working. Even now, the mobile number is not verified.
4. I wish Apple provides dual SIM. Now dual SIM is almost a necessity. But as my wife does not use two SIMs, for her, it is fine.
5. Apple is providing USB-C to lightning cable. They should supply USB-A to lightning cable instead. 99% of the chargers have a USB-A output. I had to purchase a USB-A to USB-C mini adapter (₹180) for this, or someone may have to buy a cable of the type (good cables from Apple, Belkin, Anker cost ₹1100 and above). By far, this is my biggest grouse.
6. This is not the latest iPhone. The iPhone 13 was ₹73,000 and did not seem VFM. Even at ₹56,000 (₹55,900 to be exact), the iPhone12 may not be money best spent. This is one reason, why I haven't purchased an iPhone for myself all this while (I can afford to buy the latest one every year).","74 people found this helpful"
"Rup","4.0 out of 5 stars","NOICE","Fabulous!","9 people found this helpful"
"Khadar Basha Shaik","4.0 out of 5 stars","Excellent One but more expensive with more restrictions 😂","Everything is under safety controls and every feature will be restricted to some extent when it comes to safety … nice one","7 people found this helpful"
"manoj kumar jha","4.0 out of 5 stars","Good but overhyped","The product is good for business and work but as a normal usage it is pretty overpriced I've found better devices cheaper than this the honest thing I'd say is it is good but overpriced if you wanna purchase it go ahead it's really smooth and water resistant if you are willing to buy it I'd recommend","11 people found this helpful"
"Sainik","5.0 out of 5 stars","Best Phone","I had been using iPhone 7 and then I bought this iPhone 12. Very good. Lot better. Very fast.! iPhone of any model is always good but this is too good. I know iPhone 14 will be launched soon, but this is none the less. At least apple has worked on battery backup now. Hopefully all will be great! I am a fan of apple phones","5 people found this helpful"
"ARIF KHAN","5.0 out of 5 stars","Expensive, good camera , poor battery , heating problem","Battery performance is disgusting. Camera is 4/5. Gaming amazing. Heat up so much. Everytime heating problem comes out. While charging or gaming....heat up so much.","3 people found this helpful"
"Golu","5.0 out of 5 stars","Very good","Very good phone",""
"sungkum","4.0 out of 5 stars","Good one","Good one","5 people found this helpful"
